source_file,entity_type,raw_value,confidence,extraction_timestamp
W2_XL_input_noisy_2922.pdf,AllocatedTips,173239.4,0.94,2026-05-29 02:14:33.602031
W2_XL_input_noisy_2922.pdf,ControlNumber,8265563,0.87,2026-05-29 02:14:33.602131
W2_XL_input_noisy_2922.pdf,DependentCareBenefits,256,0.31,2026-05-29 02:14:33.602156
W2_XL_input_noisy_2922.pdf,EIN,68-1949016,0.96,2026-05-29 02:14:33.602174
W2_XL_input_noisy_2922.pdf,EmployeeAddress_City,East Lori,0.83,2026-05-29 02:14:33.602191
W2_XL_input_noisy_2922.pdf,EmployeeAddress_State,NY,0.08,2026-05-29 02:14:33.602208
W2_XL_input_noisy_2922.pdf,EmployeeAddress_StreetAddressOrPostalBox,6243 Avila Mission Apt. 653,0.74,2026-05-29 02:14:33.602266
W2_XL_input_noisy_2922.pdf,EmployeeAddress_Zip,43845,0.81,2026-05-29 02:14:33.602309
W2_XL_input_noisy_2922.pdf,EmployeeName_FirstName,Tiffany,0.96,2026-05-29 02:14:33.602363
W2_XL_input_noisy_2922.pdf,EmployeeName_LastName,Ramirez,0.96,2026-05-29 02:14:33.602394
W2_XL_input_noisy_2922.pdf,EmployerAddress_City,Bryanport,0.92,2026-05-29 02:14:33.602411
W2_XL_input_noisy_2922.pdf,EmployerAddress_State,VT,0.07,2026-05-29 02:14:33.602427
W2_XL_input_noisy_2922.pdf,EmployerAddress_StreetAddressOrPostalBox,2395 Joshua Center Apt. 267,0.83,2026-05-29 02:14:33.602444
W2_XL_input_noisy_2922.pdf,EmployerName,"Harmon, Wang and Rodriguez and Sons",0.93,2026-05-29 02:14:33.602459
W2_XL_input_noisy_2922.pdf,EmployerStateIdNumber_Line1,080-93-510,0.85,2026-05-29 02:14:33.602475
W2_XL_input_noisy_2922.pdf,FederalIncomeTaxWithheld,39400.69,0.94,2026-05-29 02:14:33.602491
W2_XL_input_noisy_2922.pdf,FormYear,2010,0.88,2026-05-29 02:14:33.602520
W2_XL_input_noisy_2922.pdf,LocalIncomeTax_Line1,23384.05,0.89,2026-05-29 02:14:33.602537
W2_XL_input_noisy_2922.pdf,LocalWagesTipsEtc_Line1,154749.84,0.92,2026-05-29 02:14:33.602553
W2_XL_input_noisy_2922.pdf,LocalityName_Line1,Katherine Mission,0.82,2026-05-29 02:14:33.602568
W2_XL_input_noisy_2922.pdf,MedicareTaxWithheld,5023.94,0.95,2026-05-29 02:14:33.602583
W2_XL_input_noisy_2922.pdf,MedicareWagesAndTips,173239.4,0.95,2026-05-29 02:14:33.602597
W2_XL_input_noisy_2922.pdf,SSN,070-82-9963,0.94,2026-05-29 02:14:33.602612
W2_XL_input_noisy_2922.pdf,SocialSecurityTaxWithheld,15962.4,0.85,2026-05-29 02:14:33.602627
W2_XL_input_noisy_2922.pdf,SocialSecurityTips,208658.82,0.92,2026-05-29 02:14:33.602642
W2_XL_input_noisy_2922.pdf,SocialSecurityWages,208658.82,0.95,2026-05-29 02:14:33.602656
W2_XL_input_noisy_2922.pdf,StateIncomeTax_Line1,23.84,0.56,2026-05-29 02:14:33.602672
W2_XL_input_noisy_2922.pdf,StateWagesTipsEtc_Line1,93340.99,0.34,2026-05-29 02:14:33.602686
W2_XL_input_noisy_2922.pdf,State_Line1,WV,0.96,2026-05-29 02:14:33.602701
W2_XL_input_noisy_2922.pdf,WagesTipsOtherCompensation,175527.76,0.96,2026-05-29 02:14:33.602716
W2_XL_input_noisy_2922.pdf,a_Value,2152,0.89,2026-05-29 02:14:33.602730
W2_XL_input_noisy_2922.pdf,b_Code,G,0.65,2026-05-29 02:14:33.602746
W2_XL_input_noisy_2922.pdf,c_Code,E,0.91,2026-05-29 02:14:33.602761
W2_XL_input_noisy_2922.pdf,c_Value,690,0.69,2026-05-29 02:14:33.602776
W2_XL_input_noisy_2922.pdf,d_Value,765,0.09,2026-05-29 02:14:33.602791
W2_XL_input_clean_1359.pdf,AllocatedTips,83187.62,0.94,2026-05-29 02:14:51.237521
W2_XL_input_clean_1359.pdf,ControlNumber,3937814,0.94,2026-05-29 02:14:51.237605
W2_XL_input_clean_1359.pdf,DependentCareBenefits,239,0.77,2026-05-29 02:14:51.237629
W2_XL_input_clean_1359.pdf,EIN,86-3619959,0.98,2026-05-29 02:14:51.237646
W2_XL_input_clean_1359.pdf,EmployeeAddress_City,New Catherine,0.93,2026-05-29 02:14:51.237665
W2_XL_input_clean_1359.pdf,EmployeeAddress_State,WY,0.08,2026-05-29 02:14:51.237681
W2_XL_input_clean_1359.pdf,EmployeeAddress_StreetAddressOrPostalBox,19447 Renee Parkways,0.81,2026-05-29 02:14:51.237698
W2_XL_input_clean_1359.pdf,EmployeeAddress_Zip,93672,0.77,2026-05-29 02:14:51.237713
W2_XL_input_clean_1359.pdf,EmployeeName_FirstName,Alison,0.97,2026-05-29 02:14:51.237728
W2_XL_input_clean_1359.pdf,EmployeeName_LastName,Martinez,0.97,2026-05-29 02:14:51.237743
W2_XL_input_clean_1359.pdf,EmployerAddress_City,Lake Amy,0.95,2026-05-29 02:14:51.237758
W2_XL_input_clean_1359.pdf,EmployerAddress_State,PA,0.07,2026-05-29 02:14:51.237774
W2_XL_input_clean_1359.pdf,EmployerAddress_StreetAddressOrPostalBox,66656 Johnson Brook Suite 053,0.72,2026-05-29 02:14:51.237789
W2_XL_input_clean_1359.pdf,EmployerAddress_Zip,21885-2099,0.98,2026-05-29 02:14:51.237804
W2_XL_input_clean_1359.pdf,EmployerName,Dennis-Erickson Ltd,0.97,2026-05-29 02:14:51.237819
W2_XL_input_clean_1359.pdf,EmployerStateIdNumber_Line1,909-36-601,0.42,2026-05-29 02:14:51.237834
W2_XL_input_clean_1359.pdf,FederalIncomeTaxWithheld,10638.61,0.97,2026-05-29 02:14:51.237850
W2_XL_input_clean_1359.pdf,FormYear,2010,0.81,2026-05-29 02:14:51.237865
W2_XL_input_clean_1359.pdf,LocalIncomeTax_Line1,10363.89,0.85,2026-05-29 02:14:51.237881
W2_XL_input_clean_1359.pdf,LocalWagesTipsEtc_Line1,62539.27,0.87,2026-05-29 02:14:51.237896
W2_XL_input_clean_1359.pdf,LocalityName_Line1,Young Springs,0.77,2026-05-29 02:14:51.237911
W2_XL_input_clean_1359.pdf,MedicareTaxWithheld,2412.44,0.98,2026-05-29 02:14:51.238476
W2_XL_input_clean_1359.pdf,MedicareWagesAndTips,83187.62,0.97,2026-05-29 02:14:51.238500
W2_XL_input_clean_1359.pdf,SSN,400-18-3267,0.98,2026-05-29 02:14:51.238516
W2_XL_input_clean_1359.pdf,SocialSecurityTaxWithheld,5005.6,0.97,2026-05-29 02:14:51.238532
W2_XL_input_clean_1359.pdf,SocialSecurityTips,65432.67,0.99,2026-05-29 02:14:51.238547
W2_XL_input_clean_1359.pdf,SocialSecurityWages,65432.67,0.96,2026-05-29 02:14:51.238563
W2_XL_input_clean_1359.pdf,StateIncomeTax_Line1,2187.65,0.41,2026-05-29 02:14:51.238578
W2_XL_input_clean_1359.pdf,StateWagesTipsEtc_Line1,33773.73,0.34,2026-05-29 02:14:51.238593
W2_XL_input_clean_1359.pdf,State_Line1,NV,0.88,2026-05-29 02:14:51.238608
W2_XL_input_clean_1359.pdf,WagesTipsOtherCompensation,65875.11,0.96,2026-05-29 02:14:51.238624
W2_XL_input_clean_1359.pdf,a_Code,H,0.73,2026-05-29 02:14:51.238640
W2_XL_input_clean_1359.pdf,a_Value,2262,0.17,2026-05-29 02:14:51.238655
W2_XL_input_clean_1359.pdf,b_Value,629,0.58,2026-05-29 02:14:51.238673
W2_XL_input_clean_1359.pdf,c_Code,D,0.43,2026-05-29 02:14:51.238689
W2_XL_input_clean_1359.pdf,c_Value,806,0.22,2026-05-29 02:14:51.238705
W2_XL_input_clean_1112.pdf,AllocatedTips,114159.59,0.94,2026-05-29 02:15:02.854220
W2_XL_input_clean_1112.pdf,ControlNumber,7074476,0.88,2026-05-29 02:15:02.854365
W2_XL_input_clean_1112.pdf,DependentCareBenefits,197,0.75,2026-05-29 02:15:02.854411
W2_XL_input_clean_1112.pdf,EIN,56-7437876,0.99,2026-05-29 02:15:02.854440
W2_XL_input_clean_1112.pdf,EmployeeAddress_City,Douglasfurt,0.71,2026-05-29 02:15:02.854466
W2_XL_input_clean_1112.pdf,EmployeeAddress_State,IL,0.07,2026-05-29 02:15:02.854491
W2_XL_input_clean_1112.pdf,EmployeeAddress_StreetAddressOrPostalBox,18383 Johnson Brook,0.69,2026-05-29 02:15:02.854540
W2_XL_input_clean_1112.pdf,EmployeeAddress_Zip,18679,0.74,2026-05-29 02:15:02.854565
W2_XL_input_clean_1112.pdf,EmployeeName_FirstName,Jessica,0.97,2026-05-29 02:15:02.854602
W2_XL_input_clean_1112.pdf,EmployeeName_LastName,Wong,0.95,2026-05-29 02:15:02.854645
W2_XL_input_clean_1112.pdf,EmployerAddress_City,Hughesmouth,0.56,2026-05-29 02:15:02.854684
W2_XL_input_clean_1112.pdf,EmployerAddress_State,AR,0.07,2026-05-29 02:15:02.854718
W2_XL_input_clean_1112.pdf,EmployerAddress_StreetAddressOrPostalBox,47823 Robert Forks,0.26,2026-05-29 02:15:02.854746
W2_XL_input_clean_1112.pdf,EmployerName,Turner-Powell and Sons,0.97,2026-05-29 02:15:02.854771
W2_XL_input_clean_1112.pdf,EmployerStateIdNumber_Line1,092-03-392,0.58,2026-05-29 02:15:02.854787
W2_XL_input_clean_1112.pdf,FederalIncomeTaxWithheld,16509.94,0.97,2026-05-29 02:15:02.854803
